Filename,Epsilon,Mu,Sigma,TanD,TanDFreq,EpsInfinity,DispModelEps,DispCoeff1Eps,DispCoeff2Eps,UseGeneralDispersionEps,ThermalConductivity,ThermalConductivityX,ThermalConductivityY,ThermalConductivityZ,HeatCapacity,ThermalExpansionRate,Emissivity,YoungsModulus,PoissonsRatio,Rho
Preperm L270 (loss free).mtd,2.7,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080.0
Preperm L270 (lossy).mtd,2.7,1.0,N/A,0.0006,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080.0
Preperm L300 (loss free).mtd,3.0,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1210.0
Preperm L300 (lossy).mtd,3.0,1.0,N/A,0.0005,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1210.0
Preperm L330 (loss free).mtd,3.3,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1330.0
Preperm L330 (lossy).mtd,3.3,1.0,N/A,0.0005,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1330.0
Preperm L335 (loss free).mtd,3.35,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1340.0
Preperm L335 (lossy).mtd,3.35,1.0,N/A,0.0005,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1340.0
Preperm L380 (loss free).mtd,3.8,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1450.0
Preperm L380 (lossy).mtd,3.8,1.0,N/A,0.0006,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1450.0
Preperm L440 (loss free).mtd,4.4,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1540.0
Preperm L440 (lossy).mtd,4.4,1.0,N/A,0.0005,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1540.0
Preperm L450 (loss free).mtd,4.5,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1540.0
Preperm L450 (lossy).mtd,4.5,1.0,N/A,0.0005,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1540.0
Preperm L500 (loss free).mtd,5.0,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1700.0
Preperm L500 (lossy).mtd,5.0,1.0,N/A,0.0005,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1700.0
Preperm L570 (loss free).mtd,5.7,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1800.0
Preperm L570 (lossy).mtd,5.7,1.0,N/A,0.0006,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1800.0
